NISCODE,gemeente,verharding
23098,Drogenbos,55.8
23047,Machelen,52.2
34023,Kuurne,43
11029,Mortsel,42.3
11005,Boom,42
11002,Antwerpen,41.3
35013,Oostende,38.7
44021,Gent,37.4
11018,Hemiksem,37.1
11013,Edegem,36.5
11007,Borsbeek,36.4
36008,Izegem,35.9
23088,Vilvoorde,35.9
23094,Zaventem,35.8
36015,Roeselare,35.2
34040,Waregem,34.6
11001,Aartselaar,34
23099,Kraainem,33.7
11050,Wijnegem,33.1
11056,Zwijndrecht,31.6
11030,Niel,31.5
34013,Harelbeke,31.4
35002,Bredene,31
24062,Leuven,31
23103,Wezembeek-Oppem,30.9
34009,Deerlijk,29.8
34027,Menen,29.8
11052,Wommelgem,29.7
31005,Brugge,29.3
11025,Lint,29.2
34041,Wevelgem,28.4
34022,Kortrijk,28.1
23102,Wemmel,27.8
37017,Wielsbeke,27.8
36007,Ingelmunster,27.3
41011,Denderleeuw,27
71016,Genk,27
12040,Willebroek,26.9
11024,Kontich,25.9
43018,Zelzate,25.6
12025,Mechelen,25.4
23081,Steenokkerzeel,25
44040,Melle,25
11021,Hove,25
23044,Liedekerke,24.8
12009,Duffel,24.5
12035,Sint-Katelijne-Waver,24.4
41002,Aalst,24.3
13029,Olen,24.3
13046,Vosselaar,24
11040,Schoten,23.5
11038,Schelle,23
23016,Dilbeek,22.9
42006,Dendermonde,22.7
11037,Rumst,22.7
37010,Oostrozebeke,22.2
71022,Hasselt,22.1
46021,Sint-Niklaas,22
46003,Beveren,21.6
23025,Grimbergen,21.5
42025,Wetteren,21.3
43005,Eeklo,20.8
46025,Temse,20.8
24014,Boortmeerbeek,20.7
44013,Destelbergen,20.7
13016,Hulshout,20.5
12021,Lier,20.5
23003,Beersel,20.4
31004,Blankenberge,20.1
42028,Zele,20
23086,Ternat,19.6
13011,Herentals,19.4
71070,Heusden-Zolder,19.3
23105,Affligem,19.2
71034,Leopoldsburg,19.2
44081,Zulte,19.1
13004,Beerse,19.1
24109,Tremelo,19.1
13040,Turnhout,19.1
46014,Lokeren,19.1
44043,Merelbeke,19
24048,Keerbergen,18.8
71004,Beringen,18.6
45041,Ronse,18.6
23027,Halle,18.6
42011,Lebbeke,18.5
23077,Sint-Pieters-Leeuw,18.5
44064,Sint-Martens-Latem,18.4
41082,Erpe-Mere,18.3
23060,Opwijk,18.3
71066,Zonhoven,18.2
24007,Begijnendijk,18
12041,Puurs-Sint-Amands,17.9
44019,Evergem,17.9
37020,Ardooie,17.8
44012,De Pinte,17.7
13049,Westerlo,17.7
37007,Meulebeke,17.6
11008,Brasschaat,17.5
44034,Lochristi,17.4
42008,Hamme,17.4
23039,Kapelle-op-den-Bos,17.3
11004,Boechout,17.3
44048,Nazareth,17
42004,Buggenhout,17
34025,Lendelede,17
23002,Asse,16.9
41034,Lede,16.8
13010,Grobbendonk,16.8
73001,Alken,16.8
12029,Putte,16.7
36010,Ledegem,16.7
31033,Torhout,16.7
12014,Heist-op-den-Berg,16.6
71011,Diepenbeek,16.5
71057,Tessenderlo,16.5
36011,Lichtervelde,16.5
34003,Avelgem,16.5
23045,Londerzeel,16.5
11035,Ranst,16.4
38014,Koksijde,16.4
24038,Herent,16.4
24001,Aarschot,16.4
23101,Sint-Genesius-Rode,16.3
72043,Pelt,16.3
45035,Oudenaarde,16.3
11044,Stabroek,16.3
23100,Linkebeek,16.2
31043,Knokke-Heist,16.2
72020,Lommel,16.1
36019,Staden,16
73107,Maasmechelen,15.6
71069,Ham,15.6
31040,Zedelgem,15.6
73042,Lanaken,15.5
41024,Haaltert,15.5
36006,Hooglede,15.3
12026,Nijlen,15.3
23050,Meise,15.2
23097,Roosdaal,15.2
24033,Haacht,15.2
42026,Wichelen,15.1
13006,Dessel,15
23096,Zemst,14.9
24055,Kortenberg,14.9
34002,Anzegem,14.9
73006,Bilzen,14.8
11055,Zoersel,14.8
23062,Overijse,14.8
13053,Laakdal,14.8
41048,Ninove,14.6
11023,Kapellen,14.6
13008,Geel,14.4
37015,Tielt,14.3
34042,Zwevegem,14.2
38016,Nieuwpoort,14.2
71053,Sint-Truiden,14.2
38008,De Panne,14.1
37002,Dentergem,14.1
12002,Berlaar,14.1
33029,Wervik,14.1
44083,Deinze,14.1
42010,Laarne,14
24134,Scherpenheuvel-Zichem,13.9
41081,Zottegem,13.9
12005,Bonheiden,13.9
13014,Hoogstraten,13.9
11039,Schilde,13.8
44020,Gavere,13.8
12007,Bornem,13.8
46013,Kruibeke,13.7
24094,Rotselaar,13.7
24107,Tienen,13.6
36012,Moorslede,13.6
46024,Stekene,13.5
37011,Pittem,13.4
24020,Diest,13.3
71045,Nieuwerkerken,13.3
13002,Baarle-Hertog,13.2
71037,Lummen,13.2
72037,Hamont-Achel,13.1
41063,Sint-Lievens-Houtem,13.1
13037,Rijkevorsel,13.1
24104,Tervuren,12.9
72004,Bree,12.7
35029,De Haan,12.7
72039,Houthalen-Helchteren,12.7
23033,Hoeilaart,12.7
23052,Merchtem,12.5
13003,Balen,12.5
11054,Zandhoven,12.5
73032,Hoeselt,12.5
42003,Berlare,12.5
46020,Sint-Gillis-Waas,12.4
23038,Kampenhout,12.4
13012,Herenthout,12.4
31022,Oostkamp,12.4
32011,Kortemark,12.3
11016,Essen,12.3
13023,Merksplas,12.3
13021,Meerhout,12.3
42023,Waasmunster,12.2
72041,Dilsen-Stokkem,12.2
71024,Herk-de-Stad,12.2
33011,Ieper,12.1
35006,Ichtegem,12.1
73083,Tongeren,12.1
41018,Geraardsbergen,12
37018,Wingene,12
11057,Malle,11.9
31012,Jabbeke,11.8
13031,Oud-Turnhout,11.6
72021,Maaseik,11.6
45068,Kruisem,11.6
13025,Mol,11.5
44085,Lievegem,11.4
44084,Aalter,11.3
44052,Oosterzele,11.3
73098,Wellen,11.1
11009,Brecht,11.1
41027,Herzele,11
43010,Maldegem,10.9
35014,Oudenburg,10.9
72018,Kinrooi,10.9
73066,Riemst,10.8
35005,Gistel,10.8
72003,Bocholt,10.7
35011,Middelkerke,10.6
13019,Lille,10.6
71002,As,10.6
33037,Zonnebeke,10.6
37012,Ruiselede,10.5
71020,Halen,10.5
13013,Herselt,10.4
24066,Lubbeek,10.3
71067,Zutendaal,10.3
73009,Borgloon,10.2
23104,Lennik,10.2
13001,Arendonk,10.1
32010,Koekelare,9.9
13017,Kasterlee,9.9
34043,Spiere-Helkijn,9.8
73040,Kortessem,9.8
24135,Tielt-Winge,9.7
11053,Wuustwezel,9.7
31003,Beernem,9.7
45065,Zwalm,9.6
45060,Kluisbergen,9.6
13036,Retie,9.6
11022,Kalmthout,9.5
24016,Boutersem,9.5
24086,Oud-Heverlee,9.5
32006,Houthulst,9.4
43007,Kaprijke,9.3
33040,Langemark-Poelkapelle,9.3
72042,Oudsbergen,9.3
24137,Glabbeek,9.2
45063,Lierde,9.2
24059,Landen,9.2
45059,Brakel,9.1
24009,Bertem,9.1
24008,Bekkevoort,9.1
72030,Peer,9
44073,Wachtebeke,8.9
13044,Vorselaar,8.8
33021,Poperinge,8.6
13035,Ravels,8.5
23023,Galmaarden,8.5
24043,Holsbeek,8.4
24011,Bierbeek,8.3
23024,Gooik,8.2
33016,Mesen,8.2
45062,Horebeke,8.2
45061,Wortegem-Petegem,8.1
24028,Geetbets,8.1
24133,Linter,7.9
44045,Moerbeke,7.8
24054,Kortenaken,7.7
43002,Assenede,7.6
24130,Zoutleeuw,7.6
24045,Huldenberg,7.5
24041,Hoegaarden,7.5
38025,Veurne,7.5
45064,Maarkedal,7
33041,Vleteren,6.8
32003,Diksmuide,6.8
72038,Hechtel-Eksel,6.7
23032,Herne,6.7
71017,Gingelom,6.5
73028,Herstappe,6.4
31006,Damme,6.4
73022,Heers,6
33039,Heuvelland,5.9
23064,Pepingen,5.7
43014,Sint-Laureins,5.5
38002,Alveringem,5.1
23009,Bever,5.1
32030,Lo-Reninge,5
73109,Voeren,4.7
31042,Zuienkerke,4.2
21001,Anderlecht,52.7
21002,Oudergem,52.7
21003,Sint-Agatha-Berchem,52.7
21004,Brussel,52.7
21005,Etterbeek,52.7
21006,Evere,52.7
21007,Vorst,52.7
21008,Ganshoren,52.7
21009,Elsene,52.7
21010,Jette,52.7
21011,Koekelberg,52.7
21012,Sint-Jans-Molenbeek,52.7
21013,Sint-Gillis,52.7
21014,Sint-Joost-ten-Node,52.7
21015,Schaarbeek,52.7
21016,Ukkel,52.7
21017,Watermaal-Bosvoorde,52.7
21018,Sint-Lambrechts-Woluwe,52.7
21019,Sint-Pieters-Woluwe,52.7
